source,target,seed,coop_acc,coop_log,safe_acc,safe_log,legacy_acc,legacy_log,safe_delta,legacy_delta,safe_minus_legacy,complete
caltech101,food101,2,62.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,64.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,64.0,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,2.0,1.2999999999999972,0.7000000000000028,True
caltech101,food101,3,65.5,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,65.7,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,65.9,third_party/CoOp_clean/output/xd/test/food101/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,0.20000000000000284,0.4000000000000057,-0.20000000000000284,True
caltech101,oxford_flowers,1,52.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,50.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,52.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-2.0,0.0,-2.0,True
caltech101,oxford_flowers,2,45.5,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,48.4,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,46.5,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,2.8999999999999986,1.0,1.8999999999999986,True
caltech101,oxford_flowers,3,48.2,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,49.5,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,50.6,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,1.2999999999999972,2.3999999999999986,-1.1000000000000014,True
caltech101,stanford_cars,1,51.2,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,51.5,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,53.1,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,0.29999999999999716,1.8999999999999986,-1.6000000000000014,True
caltech101,stanford_cars,2,50.0,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,42.9,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,44.5,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,-7.100000000000001,-5.5,-1.6000000000000014,True
caltech101,stanford_cars,3,49.8,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,49.3,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,51.2,third_party/CoOp_clean/output/xd/test/stanford_cars/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-0.5,1.4000000000000057,-1.9000000000000057,True
caltech101,fgvc_aircraft,1,13.4,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,11.3,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,11.5,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-2.0999999999999996,-1.9000000000000004,-0.1999999999999993,True
caltech101,fgvc_aircraft,2,11.0,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,10.8,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,11.5,third_party/CoOp_clean/output/xd/test/fgvc_aircraft/source_caltech101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,-0.1999999999999993,0.5,-0.6999999999999993,True
